commit	val_loss	val_acc	val_auc	vram_gb	status	description
local	0.245625	0.9102	0.9530	4.0	keep	baseline
local	0.243533	0.9112	0.9526	4.0	keep	LR 5e-5
local	0.248709	0.9088	0.9513	4.0	discard	LR 1e-5
local	0.244628	0.9138	0.9526	4.0	discard	LR 3e-5
local	0.246964	0.9098	0.9509	4.0	discard	warmup 0.2
local	0.247499	0.9117	0.9515	4.0	discard	warmup 0.0
local	0.246753	0.9119	0.9526	4.0	discard	warmup 40 steps
local	0.246925	0.9097	0.9514	6.6	discard	batch 64
local	0.244618	0.9122	0.9517	2.6	discard	batch 16
local	0.246604	0.9101	0.9531	4.0	discard	max pooling
local	0.246637	0.9108	0.9531	4.0	discard	attention pooling
local	0.245352	0.9114	0.9525	4.0	discard	enhanced head
local	0.245559	0.9108	0.9527	4.0	discard	dropout 0.3
local	0.245585	0.9119	0.9531	4.0	discard	dropout 0.0
local	0.245874	0.9108	0.9527	4.0	discard	weight decay 0.05
local	0.247551	0.9097	0.9523	4.1	discard	grad accum 2
local	0.245685	0.9111	0.9530	4.0	discard	reinit 2 layers
local	0.245855	0.9117	0.9527	4.0	discard	reinit 4 layers
local	9.999999	0.0	0.0	0.0	crash	LoRA r=16
local	9.999999	0.0	0.0	0.0	crash	LoRA r=8 a=16
local	0.247036	0.9105	0.9526	3.2	discard	fp16 mixed
local	9.999999	0.0	0.0	0.0	crash	RC augment
local	0.245510	0.9112	0.9530	4.0	discard	cosine LR
local	0.253396	0.9074	0.9481	4.0	discard	kmer 4
local	0.257414	0.9049	0.9478	4.0	discard	kmer 5
